#time    potential    pressure    kinect   square_kin
0.0    -2.537    -15.202    1350.0    1.8225e6
0.01    -2.542    -15.233    1350.0    1.8225e6
0.02    -2.558    -15.328    1350.01    1.822528347e6
0.03    -2.585    -15.487    1350.032    1.822585485e6
0.04    -2.622    -15.713    1350.064    1.822672337e6
0.05    -2.672    -16.009    1350.108    1.822790331e6
0.06    -2.735    -16.382    1350.163    1.82294145e6
0.07    -2.811    -16.836    1350.233    1.823128291e6
0.08    -2.902    -17.381    1350.316    1.823354152e6
0.09    -3.011    -18.025    1350.416    1.823623146e6
0.1    -3.138    -18.781    1350.533    1.82394034e6
0.11    -3.287    -19.664    1350.671    1.824311945e6
0.12    -3.46    -20.691    1350.831    1.824745553e6
0.13    -3.662    -21.883    1351.018    1.825250444e6
0.14    -3.897    -23.266    1351.236    1.825837984e6
0.15    -4.17    -24.872    1351.489    1.826522131e6
0.16    -4.49    -26.737    1351.784    1.827320081e6
0.17    -4.864    -28.904    1352.129    1.828253064e6
0.18    -5.303    -31.423    1352.534    1.829347276e6
0.19    -5.82    -34.349    1353.01    1.830634858e6
0.2    -6.431    -37.729    1353.571    1.832154631e6
0.21    -7.154    -41.59    1354.235    1.833951852e6
0.22    -8.004    -45.886    1355.019    1.836075191e6
0.23    -8.993    -50.401    1355.938    1.838566836e6
0.24    -10.11    -54.529    1356.995    1.84143665e6
0.25    -11.29    -56.847    1358.161    1.844602442e6
0.26    -12.359    -54.454    1359.327    1.847771227e6
0.27    -13.007    -42.794    1360.251    1.850283052e6
0.28    -13.052    -19.447    1360.611    1.851261484e6
0.29    -13.344    4.192    1360.587    1.851198024e6
0.3    -15.526    7.44    1361.718    1.854276265e6
0.31    -18.258    11.014    1364.739    1.862512744e6
0.32    -16.331    87.286    1366.145    1.866351707e6
0.33    -4.641    303.685    1360.249    1.850276258e6
0.34    15.588    637.453    1345.01    1.809050884e6
0.35    49.819    1136.033    1321.27    1.745754357e6
0.36    29.741    897.377    1300.832    1.692165066e6
0.37    -9.346    392.654    1345.091    1.809270955e6
0.38    -11.717    373.178    1361.93    1.854854029e6
0.39    -4.787    488.652    1355.433    1.837198326e6
0.4    -6.086    502.089    1353.08    1.830824603e6
0.41    -2.533    577.45    1353.799    1.832770667e6
0.42    5.017    698.221    1346.349    1.812656811e6
0.43    -1.355    626.104    1344.858    1.808643458e6
0.44    -12.389    481.738    1355.246    1.836692188e6
0.45    -21.31    360.918    1364.93    1.863032695e6
0.46    -26.525    290.382    1372.239    1.883039901e6
0.47    -30.705    238.481    1375.856    1.892980697e6
0.48    -34.379    201.459    1380.993    1.90714226e6
0.49    -27.131    314.905    1380.035    1.904496061e6
0.5    -15.097    492.061    1368.421    1.872577291e6
0.51    -14.497    512.822    1361.37    1.853328827e6
0.52    -20.946    431.501    1365.617    1.864910871e6
0.53    -28.428    331.659    1372.243    1.883051694e6
0.54    -34.93    246.84    1379.795    1.903834889e6
0.55    -35.385    247.558    1383.243    1.913360465e6
0.56    -31.709    309.133    1381.057    1.907318138e6
0.57    -27.478    381.302    1376.781    1.895524606e6
0.58    -24.816    432.164    1373.147    1.885533919e6
0.59    -25.049    442.27    1371.921    1.882167552e6
0.6    -26.206    437.585    1373.177    1.885616297e6
0.61    -25.121    460.022    1373.426    1.886298349e6
0.62    -24.207    477.699    1371.807    1.881854955e6
0.63    -25.881    458.723    1372.434    1.883575375e6
0.64    -26.103    456.045    1373.921    1.887657818e6
0.65    -24.679    471.839    1372.825    1.884649762e6
0.66    -26.403    442.575    1372.429    1.883560851e6
0.67    -32.195    357.606    1376.563    1.894924722e6
0.68    -36.284    296.317    1382.516    1.911349753e6
0.69    -35.089    307.912    1383.73    1.914709397e6
0.7    -36.769    287.48    1382.783    1.912089513e6
0.71    -37.428    288.319    1386.37    1.922022921e6
0.72    -21.566    508.918    1379.968    1.904311398e6
0.73    -11.738    643.253    1361.292    1.853116245e6
0.74    -30.099    397.409    1368.667    1.87325055e6
0.75    -42.705    221.406    1385.884    1.920673295e6
0.76    -43.704    204.37    1392.043    1.937784301e6
0.77    -38.563    275.13    1388.781    1.928713793e6
0.78    -39.94    264.614    1385.65    1.92002475e6
0.79    -45.12    207.431    1390.236    1.932756362e6
0.8    -46.244    209.856    1393.742    1.942516913e6
0.81    -39.824    319.084    1391.676    1.936763227e6
0.82    -24.582    545.043    1380.79    1.906581781e6
0.83    -13.022    711.929    1365.222    1.863829924e6
0.84    -16.35    664.292    1361.013    1.852357501e6
0.85    -28.155    487.891    1369.812    1.876386027e6
0.86    -36.803    344.817    1381.09    1.907409538e6
0.87    -39.015    286.252    1385.953    1.920864725e6
0.88    -41.857    224.003    1387.528    1.92523321e6
0.89    -44.544    170.677    1391.048    1.935013825e6
0.9    -43.114    180.417    1391.574    1.936478091e6
0.91    -39.097    234.138    1388.66    1.92837769e6
0.92    -31.83    338.162    1383.59    1.914321738e6
0.93    -21.427    484.698    1374.42    1.889030087e6
0.94    -17.418    542.424    1366.148    1.866360604e6
0.95    -21.316    488.365    1366.785    1.868100384e6
0.96    -26.635    410.055    1371.943    1.882227823e6
0.97    -28.641    373.436    1375.987    1.893339346e6
0.98    -29.627    350.065    1376.319    1.894253992e6
0.99    -36.632    250.998    1380.169    1.904865786e6
